adresses;balances
"""0x36708b774e902cd86ab0970b0f0cfb6c41dc8fb5""";"""4344339681372257705368268147652"""
"""0xd813e7ac5bb5067ca548e4d9ba441d95003d074f""";"""1958941076956692189884793412712"""
"""0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88""";"""1160017159092419492586249381422"""
"""0xa216aac062e52e2dad291396dbe4afb6d4e02b0a""";"""481430471425817416758904189423"""
"""0x0ef625418eb5ef7da8caf57f9e68a9fb49fec900""";"""399308993439872009720775330879"""
"""0x42476a4a7c7594c59329f6f4889d618a5327c12c""";"""396123842699126423517851838166"""
"""0x05cd8937749729f3cca290ec1aa31b3e90e055dd""";"""386903931374000000000000000000"""
"""0x9aa0c1e7cdcd1bbe6e5300debb28f377f4488b20""";"""371550364913982056106766260438"""
"""0xc592ec9a511731c2f7b63918dde07d59a7d88247""";"""370383390832183262231484550424"""
"""0xcbbbd46c9790b81c75a15c98d952d583eb260f06""";"""364000000000000000000000000000"""
"""0xb9284335d9990666764cb737ed715f238fde69b4""";"""363221694719008573586181552759"""
"""0xe80d45caf7f09b09b2c0b9c50a0ebdfc16051749""";"""360609925941000000000000000000"""
"""0x238bc50696b76807b37e6877149acbe9023f2d6b""";"""358020554817000000000000000000"""
"""0xa7441bfa3151534b4cf05b2b2f3da5befe613658""";"""350966465406000000000000000000"""
"""0x8e04d5f3cd1ca6064ee52d21d86fe706a53c9bc9""";"""306468693410200000000000000000"""
"""0x385f95dd38a97b7c191e94fbcb2040228629f364""";"""295132129203000000000000000000"""
"""0x5b034da8b1b9f3a626a71af87fed24651a9dd48d""";"""280127121799024662307002616653"""
"""0x846f723271b41ef52decd5b1b33f145c6c3e2e69""";"""278804840419000000000000000000"""
"""0x78555980f8a10e7caa9d4c18c53576da25205e9e""";"""270862310483000000000000000000"""
"""0xa2334655996faf43a767093d5ebc84a4f44a6718""";"""254880000000000000000000000000"""
"""0xb31387161ae962dabf3ebb68ed790a34105bd8a0""";"""251000000000000000000000000000"""
"""0x376fbe6d023db9e41e71a46fe409d791a9c0c7c1""";"""246917877948714106470000000000"""
"""0xa3a7b6f88361f48403514059f1f16c8e78d60eec""";"""205000000369000000000000000000"""
"""0xf4acf9264ff6687d1975bb1ffb56937a3e62ce89""";"""195845569855814041285575810073"""
"""0x77c656b6c007dc0981865540c3a4b1348baa0b19""";"""169338525013000000000000000000"""
"""0x88266f9eb705f5282a2507a9c418821a2ac9f8bd""";"""146000000000000000000000000000"""
"""0x6666827e8f2220ddf718193544889f3b482ed072""";"""143535077394006271480000000000"""
"""0x2f08e24572271a8e3ccab887ebc0d9f9cafa29fa""";"""138028500217625050540280218428"""
"""0x3f13e139b230c5dfef653a4d378c1515928daacb""";"""136083000385400493586836308273"""
"""0x8675d6b071382c0b4625403fba167d0eb7354222""";"""133995123053809118450322032870"""
"""0xdcd828e6ae3db6c864810b9d9d97d890c1e1cd0d""";"""115395719839815305548143974275"""
"""0x57c5e759be85c2ecf519339e6829cc5b97954023""";"""112734421014849267257243695232"""
"""0x5cd8e34d689d6681da6d680542b92490d7252fa5""";"""111744018580513886066804596762"""
"""0x8495efdea8c9117983fea6b8cabe39badcdc64df""";"""104233598823769231792542932242"""
"""0x2a9429b66e26881f9163b739a1a38dfc18b11fac""";"""100440798232000000000000000000"""
"""0x057a455b14c12e1e975ce66a9e47f7ea23602fa9""";"""100422754414000000000000000000"""
"""0x6f6aa6d036edde8d0c3406c250ffd1bb79348888""";"""100065276623831740978490177999"""
