adresses;balances
"""0x02108ae6b0320f7a67a7c8f064c5e2db24a1f103""";"""35745284514961016187"""
"""0xb9284335d9990666764cb737ed715f238fde69b4""";"""13000000000000000000"""
"""0xdcd828e6ae3db6c864810b9d9d97d890c1e1cd0d""";"""11000000000000000000"""
"""0xa3a7b6f88361f48403514059f1f16c8e78d60eec""";"""4000000000000000000"""
"""0x8bf60b5ad9ab2608349580e00d477146712ca03a""";"""1688234759810107841"""
"""0x9b228b4f71b3bc7e4b478251f218060d7b70dc25""";"""690000000000000000"""
"""0x4deb73724529f73e2a224123afd34d7a0350992f""";"""532320284157644892"""
"""0xe1fe259100b664a680209a4ba5c2fa85ff7e804b""";"""124281906788159053"""
"""0xd2a3e7eadab273a580ebf52632c3bc79c474361e""";"""120585563540757372"""
"""0xcd3bf671c89e9292411bbfc740c4a93fc21a27eb""";"""89335506662778775"""
"""0x9174762be7d3f2e81d0803ad2314a2d0adc48d04""";"""9957464079535675"""
"""0x341b8106b2e28dcb005e05976a079a482baba336""";"""205"""
