adresses;balances
"""0xd813e7ac5bb5067ca548e4d9ba441d95003d074f""";"""33068671840231581976683804"""
"""0xcf4d1c0470c8e2ae8bf8160dc1c0ac25f00bb702""";"""16911283304984489522342551"""
"""0x0b4c102d653a311a26f1219fbe2fe15d2e5df00b""";"""2975509664869911625181407"""
"""0xa3a7b6f88361f48403514059f1f16c8e78d60eec""";"""2803519000000000000000000"""
"""0x3b43956505196542757834c68d672e688f6ba48c""";"""2352362551217453829207827"""
"""0x9d02b56ab12bab279e3e4a1325607389447356e3""";"""2018882133679581902898123"""
"""0xb9284335d9990666764cb737ed715f238fde69b4""";"""1991304860672072703820151"""
"""0xbdea4b975451a2def3b546775b8ee7a8a876bd8f""";"""1874045713247859267090742"""
"""0xd4d85595f9c5792a5b3f03c8c7699f34f45b7b5f""";"""1830700759250883770178948"""
"""0x740dbc322c93adad12190e2bb3ac665cf3fc351f""";"""1721505020545133507121056"""
"""0x977c42f71158c63951e13f3aa93c42c6eea855f0""";"""1595714423781834775981284"""
"""0xa240d4c9a99c51291181cfcd214179b13a1f9814""";"""1395904920110465019857317"""
"""0xbba5348daaee3d3c66549f5a1ce394fd80584223""";"""1301547919220443998750933"""
"""0xc592ec9a511731c2f7b63918dde07d59a7d88247""";"""1147166650579992436155571"""
"""0xe55d6729f70edb25a4c3937f95f6949d5ae01f18""";"""1114873845340912275620492"""
"""0x2f08e24572271a8e3ccab887ebc0d9f9cafa29fa""";"""1066108387063178532173613"""
"""0x6f6aa6d036edde8d0c3406c250ffd1bb79348888""";"""1045182558046374335208169"""
"""0xf07c330ac68b94b7cb1b8d559550ea077fd0fbbe""";"""1037741391220874108209137"""
"""0xab7d34c34951ea96a7373592ef5e9cbfe23163ac""";"""1033389146651216855770872"""
"""0x8fa5387f7034398288f337738b3144a09df4ee70""";"""997087558908057292373935"""
"""0xfa371a75c13945f38cb55ff54f07256182ec9019""";"""977612025248081265702938"""
"""0x5cd8e34d689d6681da6d680542b92490d7252fa5""";"""976541872996319317740568"""
"""0x376fbe6d023db9e41e71a46fe409d791a9c0c7c1""";"""964339949691008727986218"""
"""0x44d86c485a10adebfb8f55854f53f61f034ad47e""";"""963344918368590678997098"""
"""0xd36ef20d50f227651b79a72bc165b69a31a87c38""";"""931611993502379776016073"""
"""0xc8b1b4b68f5a604fcb3079ae7b999dd2b656080f""";"""924368541209884007866331"""
"""0x5b034da8b1b9f3a626a71af87fed24651a9dd48d""";"""915831501692377387362510"""
"""0x057a455b14c12e1e975ce66a9e47f7ea23602fa9""";"""907207484450857989053770"""
"""0x0ab9c86ceb71830ade0188b6e1ac5072b3b8a8b4""";"""891972196547835779554626"""
"""0x7e31024b21d4fac0ca6240ca06f5af973b2ec491""";"""891244957937300047053859"""
"""0xb39f4e8ce9c307134992a91b97a43d56089cd0f4""";"""878589044490483300887539"""
"""0x66e8064c5f4d991db32d14ab9a9cca30caaf0fd7""";"""865768720888501323209639"""
"""0x1aa2d90064de3c421a9b45695e2fe1ac76fad889""";"""844518097674606306576915"""
"""0xedc316b59ebceb09792acc5020f16790a394d6db""";"""806842282819786329051518"""
"""0xb817848f6f2fe861cb9b3be5f73e9cb7e2fefee6""";"""803762854974763848175610"""
"""0x04b64e84b113bc8e0cb8b05d79f64f71a668c921""";"""780234197319151427065640"""
"""0x0e10b51faf4098ccd4257dbaf82b1c7ec1710e8b""";"""688134371200938381469404"""
"""0x3958024cce87c5d83a1d3704f8806ae7dc9c74cf""";"""664108926998637202154736"""
"""0xed4219cef6d2ec4e46de149247cb7f0648ea03e2""";"""643827237246075106353443"""
"""0x78555980f8a10e7caa9d4c18c53576da25205e9e""";"""600000000000000000000000"""
"""0x5a3d3008f77bad5180765a188d7c13c126c3ce04""";"""596681709628473216233105"""
"""0xf959c8af622fe60d3d7af7c6001e183a2c961f4a""";"""575974574635924847592476"""
"""0x3fa87b6ee89b4e022ad6f1af3fb0456f1661a133""";"""562349513432922805585865"""
"""0x8bc0f2ec868a5722f3315606614f57addf997083""";"""547423811122835369920208"""
"""0x9fa9b74f05c84c9adab03db9e825c5fd435dbd74""";"""387547251282282290267958"""
"""0xc8c6ef5e50181c5c75c7784ae93113e8b3cdf886""";"""246623204698379551642818"""
"""0x5bd04b365ac5f64a96be017794286b5b9c1bb0fd""";"""222464156927097508594704"""
"""0x8bf60b5ad9ab2608349580e00d477146712ca03a""";"""131670247937962667210196"""
"""0xcae7a9d478ea404210de26952015b8f5d3b4194a""";"""65568000000000000000000"""
"""0xf345160d0949c25be324831cb157043ce630b18a""";"""39020738419982845542598"""
"""0xbe20cdce3956da505ce53b606c00beb27212aa3d""";"""22016994935206412005717"""
"""0xe0ce668fcf04be32ba5022fd725756461a8a24e0""";"""21369227189402235150045"""
"""0xcb463b4c88b8a7ad8be00039f998057d209a838c""";"""20047707608566870004492"""
"""0x75dc077d92aef1ef5458266431c262bedf4757a1""";"""15339308277505165352995"""
"""0xd037cb3de0deefb59f944b3567f57d6f4b48974c""";"""14585880685064370221733"""
"""0x3d8df90979254eefabae158a25da9ea36282cb9a""";"""14332797702374186128501"""
"""0xafdd6b8b4c7f824fb953862b9533a962e3354505""";"""14301976051455992828883"""
"""0xeac3238d331a8e8e0e821a74c528ccd88a7ea948""";"""13307600704830650280359"""
"""0xf2d16707a5f70414eccee91093980d5dc8216138""";"""13214170309370273289063"""
"""0x6ff7d2c162fc8c6c7286a4c73f93393cb7529d5e""";"""13188151541675260203615"""
"""0x0143862550a5cac7cd9995252068f2a2ce017b88""";"""12975132066502008833934"""
"""0x9492c9f7158bf0f1213bfaa4cceb6789e82cde08""";"""12928776054626427670059"""
"""0x94d3af948652ea2b272870ffa10da3250e0a34c4""";"""12610923317292046356353"""
"""0x3b79cce609e2eb6847d7f7c4e9914127f381b460""";"""12444219196391989366626"""
"""0x746f64083676bfdd403db8f63f931a50673ff279""";"""12364640318509615351095"""
"""0xb69aaa73aa853768f4f6613be5b9024f6b845ba8""";"""12008697723840550761367"""
"""0xb634d8fddc8fcd606f9fb78b077195841ff2756d""";"""10935122037185963746673"""
"""0x8c45ae8539c557923f96713d1bd5870c5cb0234e""";"""10793265691578038683845"""
"""0x214ad919e9a7866ff85cf98631c339eda3671e11""";"""10184678543149580012994"""
"""0x6e6c4b83e6e17be35a9ee12b42be560539ddb8b6""";"""10066958093487211690397"""
"""0xd907953d01c73f0dffb9a75555f37a3084ce8d02""";"""9939749957014712285809"""
"""0x73dd8f7d11a1d034ad563775eafdf97ae83e6773""";"""9450719697699060059559"""
